;Teor Cocaina (%)
B_0;88,09813
99.783.599;2405,746
100.160.731;1068,578
100.537.426;745,6641
100.913.685;2136,838
101.289.508;1909,607
101.664.894;895,8917
102.164.731;450,6154
102.539.099;476,8156
102.913.031;684,9114
103.286.526;1252,938
103.659.585;1515,615
104.032.208;922,2747
104.404.394;2561,931
104.899.964;2514,309
105.271.132;1867,386
105.641.864;1615,407
10.601.216;1997,469
106.382.019;2454,83
106.751.442;1244,277
107.120.428;-723,9842
107.611.731;-1720,236
107.979.699;-2256,358
108.347.231;-3019,121
108.714.327;-3701,084
109.080.986;-3799,625
109.447.209;-1515,347
109.812.996;1917,904
110.300.032;1356,281
1.106.648;250,3475
111.029.132;-2295,429
111.393.028;-5670,642
111.756.487;-8493,1
11.211.951;-8441,655
112.482.097;-6469,631
112.964.867;-3156,894
113.326.435;-101,7388
113.687.567;2147,299
114.048.263;4049,685
114.408.522;6887,545
114.768.345;9321,072
115.127.732;9412,791
115.486.682;5738,745
115.964.604;1399,379
116.322.536;-1790,261
116.680.032;-3002,547
117.037.091;-1564,442
117.393.714;-742,911
117.749.901;155,8125
118.105.651;447,3102
118.579.306;-937,4472
118.934.038;-1359,624
119.288.334;-1048,339
119.642.194;595,6828
119.995.617;1665,035
120.348.603;1533,113
120.701.154;1330,301
121.170.542;1427,556
121.522.074;1780,898
12.187.317;1941,872
12.222.383;1456,516
122.574.053;-608,4641
12.292.384;-255,0964
12.327.319;-470,6208
123.738.312;-836,1372
124.086.644;-833,5666
12.443.454;-676,6569
1247.82;-854,6313
125.129.023;-381,7772
12.547.561;-324,692
125.821.761;-336,1853
126.282.616;-1117,103
126.627.748;-899,3701
126.972.444;-868,0784
127.316.704;-273,035
127.660.527;-130,4797
128.003.914;326,363
128.346.864;261,3685
128.803.453;-297,7535
129.145.386;-1044,894
129.486.882;-440,755
129.827.941;-457,3083
130.168.565;209,6596
130.508.752;816,0443
130.848.502;2312,821
131.300.824;3279,543
131.639.557;4793,87
131.977.853;4808,575
132.315.713;4882,392
132.653.136;2235,457
132.990.123;-1226,978
133.326.674;-4046,951
133.774.729;-6419,753
134.110.262;-7665,31
134.445.358;-8974,842
134.780.018;-8828,586
135.114.241;-6772,231
135.448.029;-2542,242
135.781.379;2374,92
136.114.294;3956,806
136.557.501;3368,312
136.889.397;841,7386
137.220.857;-1857,256
13.755.188;-4685,803
137.882.468;-4893,611
138.212.618;-3741,384
138.542.333;-2530,587
138.981.273;-2297,533
13.930.997;-1124,262
13.963.823;840,7764
139.966.053;2075,564
14.029.344;2238,09
140.620.391;977,5857
140.946.906;-1437,628
14.138.158;-4360,06
141.707.076;-5853,778
142.032.136;-6230,068
14.235.676;-4701,717
142.680.947;-2317,939
143.004.698;-571,9153
143.328.013;229,5924
14.375.842;982,8655
144.080.716;2891,572
144.402.577;3806,782
1447.24;4099,855
145.044.988;5324,189
145.365.539;6965,227
145.685.653;7484,564
146.111.794;7710,892
14.643.089;7079,507
146.749.551;6005,301
147.067.774;5122,47
147.385.562;2981,558
147.702.913;328,3402
148.019.828;-1601,868
148.441.702;-3094,845
148.757.598;-3661,155
149.073.058;-5284,654
149.388.082;-6226,702
14.970.267;-5018,258
150.016.821;-4156,723
150.330.536;-3897,134
150.748.143;-2817,831
15.106.084;-1449,271
1.513.731;-166,6236
151.684.924;792,8116
151.996.312;1326,565
152.307.263;2425,833
152.617.778;3175,723
153.031.119;2331,89
153.340.615;2437,121
153.649.675;2225,147
153.958.299;2569,715
154.266.487;3090,685
154.574.238;2823,259
154.881.553;2219,451
155.290.628;3327,692
155.596.924;3510,025
155.902.785;1304,688
156.208.209;400,5942
156.513.196;303,4685
156.817.748;1476,077
157.121.863;535,2209
157.425.541;377,6765
157.829.767;1534,819
158.132.428;1607,291
158.434.652;449,7488
15.873.644;196,3117
159.037.791;27,07169
159.338.706;393,1371
159.639.185;259,1964
160.039.144;-1160,422
160.338.604;-1312,411
160.637.629;-1487,002
160.936.216;-2963,579
161.234.368;-3523,041
161.532.083;-6305,803
161.829.362;-6894,379
162.225.054;-4004,945
162.521.315;821,8057
162.817.139;4523,459
163.112.527;1259,993
