;MDA content (%) - chromatography
B_0;18,47682
99.783.599;-178,8598
100.160.731;-278,9606
100.537.426;-191,7984
100.913.685;113,9696
101.289.508;-31,37341
101.664.894;332,4359
102.164.731;434,6537
102.539.099;466,5321
102.913.031;650,4697
103.286.526;938,7243
103.659.585;1241,596
104.032.208;481,9357
104.404.394;90,16699
104.899.964;-427,9728
105.271.132;-624,3122
105.641.864;-822,9874
10.601.216;-831,8848
106.382.019;-350,9146
106.751.442;-586,5175
107.120.428;-310,1129
107.611.731;173,0467
107.979.699;774,1589
108.347.231;1078,594
108.714.327;1781,635
109.080.986;3031,469
109.447.209;3366,553
109.812.996;3801,26
110.300.032;4566,092
1.106.648;4208,079
111.029.132;3736,985
111.393.028;2706,308
111.756.487;577,2496
11.211.951;-1952,123
112.482.097;-3841,413
112.964.867;-4696,943
113.326.435;-5679,615
113.687.567;-5689,57
114.048.263;-4323,164
114.408.522;-2930,868
114.768.345;-387,8331
115.127.732;2172,299
115.486.682;4783,302
115.964.604;6060,928
116.322.536;6774,398
116.680.032;6109,936
117.037.091;3262,346
117.393.714;14,92108
117.749.901;-2724,155
118.105.651;-5072,15
118.579.306;-7853,393
118.934.038;-8800,078
119.288.334;-8664,821
119.642.194;-6918,999
119.995.617;-4037,646
120.348.603;-1182,997
120.701.154;976,1666
121.170.542;3264,864
121.522.074;4459,013
12.187.317;3701,079
12.222.383;2457,918
122.574.053;1014,025
12.292.384;360,3209
12.327.319;-1063,96
123.738.312;-1672,95
124.086.644;-1350,299
12.443.454;-916,3376
1247.82;-257,1655
125.129.023;266,7921
12.547.561;777,41
125.821.761;1018,919
126.282.616;1740,645
126.627.748;1426,286
126.972.444;728,9075
127.316.704;664,2967
127.660.527;356,0392
128.003.914;559,831
128.346.864;364,3726
128.803.453;830,8234
129.145.386;1004,922
129.486.882;1404,007
129.827.941;1800,019
130.168.565;2026,623
130.508.752;1053,119
130.848.502;785,5732
131.300.824;282,2224
131.639.557;-329,4264
131.977.853;-823,9058
132.315.713;-472,8755
132.653.136;-13,62988
132.990.123;457,5538
133.326.674;925,8197
133.774.729;1430,606
134.110.262;1326,265
134.445.358;1175,031
134.780.018;783,4127
135.114.241;-350,3167
135.448.029;-1884,208
135.781.379;-2837,514
136.114.294;-4245,582
136.557.501;-6322,953
136.889.397;-7391,218
137.220.857;-6857,742
13.755.188;-6052,361
137.882.468;-4778,439
138.212.618;-3532,367
138.542.333;-2207,671
138.981.273;-1489,127
13.930.997;-555,3504
13.963.823;77,23926
139.966.053;-3,586365
14.029.344;-670,7357
140.620.391;-1521,755
140.946.906;-2878,87
14.138.158;-3966,495
141.707.076;-3467,561
142.032.136;-2524,95
14.235.676;-1588,848
142.680.947;-687,3567
143.004.698;-377,5371
143.328.013;-7,700806
14.375.842;82,0177
144.080.716;654,2257
144.402.577;772,4938
1447.24;987,7168
145.044.988;784,3333
145.365.539;840,907
145.685.653;285,5685
146.111.794;754,4617
14.643.089;1141,653
146.749.551;1311,43
147.067.774;1768,546
147.385.562;2588,794
147.702.913;2832,762
148.019.828;3362,784
148.441.702;4129,432
148.757.598;4192,985
149.073.058;3874,562
149.388.082;3582,482
14.970.267;2582,668
150.016.821;1823,778
150.330.536;1349,689
150.748.143;1057,383
15.106.084;131,4808
1.513.731;-641,9338
151.684.924;95,80484
151.996.312;1225,079
152.307.263;1459,837
152.617.778;1809,052
153.031.119;2529,183
153.340.615;3015,008
153.649.675;3152,166
153.958.299;2883,159
154.266.487;2388,054
154.574.238;1493,591
154.881.553;869,5283
155.290.628;-180,0847
155.596.924;-650,0341
155.902.785;-314,7233
156.208.209;487,1605
156.513.196;13,87128
156.817.748;-388,248
157.121.863;44,68089
157.425.541;1113,658
157.829.767;1862,28
158.132.428;1595,266
158.434.652;1138,683
15.873.644;1168,83
159.037.791;954,3374
159.338.706;1694,282
159.639.185;2720,192
160.039.144;4051,974
160.338.604;4880,519
160.637.629;5329,143
160.936.216;6453,325
161.234.368;6664,509
161.532.083;6925,612
161.829.362;5804,446
162.225.054;4705,657
162.521.315;4217,124
162.817.139;978,9697
163.112.527;-2737,415
