;MDMA content (%) - chromatography
B_0;17,1112
99.783.599;541,0065
100.160.731;592,5701
100.537.426;300,8385
100.913.685;389,3961
101.289.508;401,2783
101.664.894;-412,772
102.164.731;-539,051
102.539.099;-322,9653
102.913.031;139,4427
103.286.526;80,97808
103.659.585;341,7873
104.032.208;246,6779
104.404.394;205,4513
104.899.964;-51,38795
105.271.132;-239,8622
105.641.864;-255,4301
10.601.216;-707,2695
106.382.019;-305,6201
106.751.442;-179,108
107.120.428;-8,76833
107.611.731;14,77809
107.979.699;19,68744
108.347.231;130,6409
108.714.327;-411,3723
109.080.986;-274,7537
109.447.209;-356,938
109.812.996;105,0288
110.300.032;382,7021
1.106.648;875,98
111.029.132;1293,782
111.393.028;1130,268
111.756.487;1253,565
11.211.951;616,4985
112.482.097;-377,21
112.964.867;-1486,504
113.326.435;-1886,714
113.687.567;-2418,423
114.048.263;-2639,854
114.408.522;-2494,099
114.768.345;-1915,136
115.127.732;-633,9142
115.486.682;528,4966
115.964.604;1714,465
116.322.536;2290,352
116.680.032;2463,159
117.037.091;2373,094
117.393.714;1955,727
117.749.901;1611,515
118.105.651;1461,146
118.579.306;704,0774
118.934.038;-290,255
119.288.334;-1177,051
119.642.194;-1570,73
119.995.617;-1363,058
120.348.603;-908,4081
120.701.154;-334,1233
121.170.542;-58,9043
121.522.074;241,9292
12.187.317;811,4396
12.222.383;1285,634
122.574.053;1816,719
12.292.384;2045,329
12.327.319;1566,1
123.738.312;766,6483
124.086.644;254,4698
12.443.454;-332,7782
1247.82;-438,5512
125.129.023;-472,7059
12.547.561;-289,1009
125.821.761;56,21539
126.282.616;5,205779
126.627.748;376,2661
126.972.444;620,7042
127.316.704;690,5108
127.660.527;597,4559
128.003.914;189,5292
128.346.864;-572,5575
128.803.453;-904,1479
129.145.386;-1334,973
129.486.882;-1656,253
129.827.941;-1655,277
130.168.565;-1702,591
130.508.752;-1612,94
130.848.502;-1653,312
131.300.824;-2126,31
131.639.557;-2412,484
131.977.853;-2265,045
132.315.713;-2357,542
132.653.136;-2136,328
132.990.123;-2095,643
133.326.674;-1570,77
133.774.729;-929,1779
134.110.262;-355,3219
134.445.358;134,9709
134.780.018;827,9671
135.114.241;1363,906
135.448.029;1745,674
135.781.379;1786,397
136.114.294;1041,827
136.557.501;-330,1333
136.889.397;-1210,516
137.220.857;-1700,534
13.755.188;-1019,8
137.882.468;-490,3674
138.212.618;295,7684
138.542.333;263,2516
138.981.273;166,1143
13.930.997;-263,7481
13.963.823;-724,8708
139.966.053;-1144,816
14.029.344;-1467,676
140.620.391;-1850,601
140.946.906;-1900,501
14.138.158;-1795,381
141.707.076;-445,9503
142.032.136;1391,273
14.235.676;2398,101
142.680.947;2597,561
143.004.698;2402,733
143.328.013;1654,757
14.375.842;1042,611
144.080.716;674,6038
144.402.577;676,6727
1447.24;1353,925
145.044.988;2417,595
145.365.539;3431,923
145.685.653;4854,663
146.111.794;5998,892
14.643.089;6796,389
146.749.551;6444,916
147.067.774;5040,267
147.385.562;3170
147.702.913;972,0844
148.019.828;-1015,46
148.441.702;-2875,066
148.757.598;-3908,374
149.073.058;-3641,804
149.388.082;-3167,743
14.970.267;-2044,079
150.016.821;-629,9548
150.330.536;891,795
150.748.143;2391,67
15.106.084;3046,48
1.513.731;2736,902
151.684.924;2494,784
151.996.312;1744,618
152.307.263;990,7211
152.617.778;970,7143
153.031.119;724,6553
153.340.615;1035,527
153.649.675;1468,905
153.958.299;620,193
154.266.487;-154,9276
154.574.238;-1354,935
154.881.553;-2458,004
155.290.628;-3306,005
155.596.924;-3942,343
155.902.785;-4535,049
156.208.209;-4440,739
156.513.196;-4318,416
156.817.748;-3534,823
157.121.863;-2266,496
157.425.541;-1122,776
157.829.767;-281,3024
158.132.428;556,0756
158.434.652;932,9781
15.873.644;1300,345
159.037.791;1180,096
159.338.706;1226,083
159.639.185;799,0125
160.039.144;84,03094
160.338.604;-861,5761
160.637.629;-1415,96
160.936.216;-1947,354
161.234.368;-2494,037
161.532.083;-2215,329
161.829.362;-861,1954
162.225.054;859,8553
162.521.315;3491,701
162.817.139;6474,712
163.112.527;9708,032
