;"PC-1";"PC-2";"PC-3";"PC-4";"PC-5";"PC-6"
"1";0,001051201;-0,0009129426;0,0001742915;0,0001554926;-1,590927E-05;7,501942E-05
"2";0,001035046;-0,0008014064;0,0001882785;0,0001572716;-1,966131E-05;8,828635E-05
"4";0,000529861;0,0002035021;0,0002739858;-0,0001699108;4,766056E-05;0,0001707674
"5";0,001125051;-0,0005112297;-2,097407E-05;-0,0001663689;0,0001853231;0,000203697
"6";0,001108449;-0,0003433668;-4,445732E-05;-0,0002095121;0,0001001836;0,0003144188
"7";0,001117594;-0,0002942184;-7,656698E-05;-0,0002251874;0,000251313;0,0001739889
"8";0,001068479;-0,0004051398;-2,9214E-05;-0,0002003745;0,0002007227;0,0002615565
"9";0,0008663204;-0,0001220719;0,0001475844;0,0002602934;5,368794E-05;0,0002491204
"10";0,0008941434;-8,693539E-05;0,0001464477;0,0002338693;5,291559E-05;0,0002753871
"12";0,0008658702;0,0001632732;5,327857E-05;0,0002597053;7,403522E-05;0,000116834
"13";0,0008818604;-3,636646E-05;7,663549E-05;0,0002655732;4,021466E-05;0,00015491
"14";0,0008734796;-5,398868E-05;9,453794E-05;0,0002249551;6,350896E-05;0,000145726
"15";-0,001074212;8,465136E-05;7,128983E-08;0,0001345873;2,287251E-05;-4,860315E-05
"16";-0,001090604;-5,333277E-07;1,624154E-05;0,0001348592;3,545028E-05;-7,523662E-05
"18#1";0,0009900046;0,0001729967;-1,75407E-05;8,561102E-05;-0,0001159996;1,757157E-05
"19";0,0009143581;0,0007080979;-0,000204094;4,124078E-05;2,65794E-05;-0,0002649943
"20";0,0009038792;0,0006072144;-0,0001976059;-6,21061E-05;1,446531E-05;-0,0002467351
"21";0,0004084409;0,0006087264;-4,155087E-05;0,0004751914;-0,0006393276;0,0003331178
"22";0,0003909433;0,0006420974;-5,97796E-05;0,0005153105;-0,0006371417;0,0003710902
"23";0,0003079666;-0,0002334086;8,11993E-05;-0,0006453639;2,102961E-05;2,03019E-06
"24";0,0005017124;-0,0005102794;0,0001749304;-0,0004460624;-2,825099E-05;7,424112E-05
"25";0,0005367346;-0,0008386415;-0,0002144462;0,0004924893;-1,877742E-05;0,0001335098
"26";0,0003980569;-0,0006603497;-0,0002503638;0,0004715432;-5,366027E-05;0,0001047777
"30";0,0008451877;-0,0002480904;0,0003115495;-0,0001597247;-0,0001097759;-4,942583E-05
"31";0,0008277377;-0,0002218384;0,0003035599;-0,0001876778;-0,0001650552;-3,91353E-05
"33";0,0005886948;6,894191E-05;0,0002332778;-0,0002303814;-0,000246345;-7,544173E-05
"35";0,000843992;-0,0003269943;0,0003145481;-0,0001642643;-0,0001347535;-4,838721E-05
"36#1";0,0008583028;-0,0004007927;0,0003288388;-0,0001293216;-0,0001285719;-3,55666E-05
"37";0,0005324988;-0,0001613546;0,0002573431;-0,0002827775;-0,000206437;-0,0001733885
"38";0,0005771275;0,0002318772;0,0002280304;-0,0002441474;-0,000238587;-3,389836E-05
"40#1";-0,001782423;-0,0001150181;0,0001097981;3,978308E-05;-1,755911E-05;-5,725813E-05
"41";-0,001598446;-2,143992E-05;7,974437E-05;6,217718E-05;-3,144309E-05;-2,727416E-05
"42";4,043801E-05;0,001470029;-0,0001425551;0,0001589396;-1,346994E-05;0,0002393147
"43";-6,773842E-05;0,001345329;-0,0001501512;0,0001824456;-4,188341E-06;0,0002349627
"44";-0,001020137;0,0001787691;2,935693E-05;0,0001214477;-2,843052E-05;-1,521684E-05
"45";-0,001197838;-0,0001213567;2,106965E-05;0,000137501;1,46065E-05;-4,678997E-05
"46";0,0009268023;-0,0002121498;-7,777995E-06;0,0001190369;6,846421E-05;-0,0001082903
"47";0,0008563966;2,259478E-05;-7,312578E-05;0,0001204197;0,0001168685;-0,00017207
"48";0,0009764942;-2,666368E-06;-8,326713E-05;-0,0002012287;0,0002068105;7,762621E-05
"49";0,0009500878;0,0001567511;-0,0001561264;-0,0002712506;0,0001152719;9,984241E-05
"50";0,0007310677;0,0002311887;-2,164153E-06;-0,0004263572;9,764818E-05;-6,792471E-05
"51";0,0008619588;-5,910963E-05;8,807652E-05;-0,0003409039;8,205303E-05;5,142808E-05
"52";0,0007865776;2,557537E-05;-3,959757E-05;-0,000447503;0,000113734;-6,198783E-05
"53";0,0008126317;-2,055479E-05;-2,305177E-05;-0,0004131257;0,0001239018;-3,224166E-05
"54";0,0009948253;-0,001050374;0,000261521;6,7583E-05;6,239308E-05;0,0001696556
"55";0,0009706893;-0,0009083021;0,0002520256;0,0001372907;-6,840203E-05;0,0001641542
"56";0,0008944821;0,0003112923;-7,022665E-05;0,0001336794;-1,144343E-05;-1,685543E-05
"57";0,0009410823;0,000352917;-6,375425E-05;0,0001138464;4,99851E-05;-0,0001198715
"58";0,0009497015;-0,0003280814;0,0001145812;8,606864E-05;2,808786E-05;1,328246E-05
"59";0,000905672;-0,0004457678;6,095984E-05;3,934735E-05;0,0001120868;-5,657438E-05
"60";0,0008411173;0,0003712398;-0,0001413474;0,0001376681;0,0001095404;-0,0001426245
"61";0,0008584314;0,0001955882;-6,251608E-05;0,0001174623;-2,594701E-06;-5,026503E-05
"62";0,0008880989;-0,0004712418;9,478669E-05;0,0001007159;0,0001068902;-3,305171E-05
"63";0,0009228432;-0,0003106071;0,0001023933;0,0001092894;5,444606E-05;-2,178002E-05
"64";0,0008717985;-0,0001813966;-0,0001259814;-4,01312E-06;0,0002196042;-0,0001107271
"65";0,0008543847;0,0001460225;-0,000118592;-2,506711E-05;0,0001648869;-9,63462E-05
"66";-0,0005919402;0,0002623223;-2,118843E-05;9,37399E-05;6,803962E-05;5,001997E-05
"67";-0,0006926281;0,0002489052;-1,112555E-05;8,086694E-05;5,744413E-05;8,60847E-05
"68";-0,0004237976;-4,035721E-05;0,0001915968;-1,164983E-05;-0,0001043076;-7,791615E-05
"69";-0,0003623617;5,818773E-05;0,0001478247;-5,866194E-05;-0,0001066693;-6,325282E-05
"70";-7,015756E-05;-0,0004104641;0,0003160423;-0,0001146805;-0,0001629827;-4,180873E-05
"71";-5,823544E-05;-0,0003471553;0,0003115111;-0,0001277052;-0,0001296298;-6,794218E-05
"72#1";-0,0004893871;-0,0005126052;0,0002312372;0,0001103259;-2,239714E-05;-0,0001983415
"73";-0,0004800092;-0,0004532002;0,0002167916;0,0001235045;-6,716306E-05;-0,0002292487
"74";-0,0002518321;-1,499545E-06;9,163297E-05;6,038365E-05;-7,261635E-06;-2,27796E-05
"75";-0,0002157709;3,614715E-05;9,449017E-05;3,554609E-05;-6,917944E-05;3,262141E-05
"76";-0,0005352862;-0,0005544137;0,0002072271;9,667028E-05;8,932984E-07;-0,0002532472
"77";-0,0004632143;-0,0004106336;0,0001724271;7,55776E-05;-2,150099E-05;-0,0001847335
"78";-0,0003907725;-0,0004397104;0,0001935846;0,0001320681;1,682451E-05;-0,0001748247
"79";-0,0003272343;-0,0002850504;0,0001764251;0,0001087682;-7,859395E-06;-0,0001700601
"80";0,0002428756;-0,0005786663;-0,0002591235;0,000561867;-1,133396E-05;0,0001849866
"81";0,0005239244;-0,0005629415;-0,0002289706;0,0005726946;3,298439E-06;0,0001892041
"82#1";0,0008100636;0,000567308;-0,0002752748;-0,0001769982;0,0002490316;-0,0002000204
"83";0,0007654737;0,0006279725;-0,0003339419;-0,0001763917;0,0003224223;-0,0003836941
"84";0,0008627002;-0,0001130823;-7,32029E-05;-7,905787E-05;0,0001846354;-5,384084E-05
"85";0,00085634;0,0001528889;-0,0001287889;-8,018281E-05;0,0001884559;-8,621447E-05
"86";-0,004795255;0,000260483;-5,866574E-05;-5,494751E-05;9,479875E-05;7,129717E-05
"87";-0,005984823;-5,912509E-05;-2,675697E-05;-0,0001012412;0,0001827093;6,070032E-05
"88";-0,00483037;0,0002739741;-1,832073E-05;-4,662309E-05;6,875808E-05;4,939052E-05
"89";-0,001258383;0,0001053468;-1,306541E-05;0,0001646266;1,935516E-05;9,001782E-06
"90#1";-0,001407557;8,99174E-05;-2,529939E-05;0,0001663067;5,685827E-05;-1,476197E-06
"91";-0,00515509;0,0001951398;2,595333E-05;-5,355224E-05;8,387554E-05;2,117042E-06
